X,Y,Z,RX,RY,RZ
-476.213,-73.239,686.457,-179.997,-0.0,-112.951
-476.213,-73.239,686.457,-179.997,-0.0,-112.951
-475.257,-78.296,686.533,-179.997,-0.0,-110.896
-475.257,-78.296,686.533,-179.997,-0.0,-110.896
-475.257,-78.296,686.533,-179.997,-0.0,-110.896
-473.651,-86.216,686.645,-179.996,0.0,-107.759
-473.651,-86.216,686.645,-179.996,0.0,-107.759
-472.531,-91.376,686.721,-179.996,0.0,-105.702
-472.531,-91.376,686.721,-179.996,0.0,-105.702
-472.531,-91.376,686.721,-179.996,0.0,-105.702
-470.063,-101.897,686.878,-179.996,-0.0,-101.548
-470.063,-101.897,686.878,-179.996,-0.0,-101.548
-470.063,-101.897,686.878,-179.996,-0.0,-101.548
-468.106,-109.562,686.985,-179.995,0.0,-98.428
-468.106,-109.562,686.985,-179.995,0.0,-98.428
-468.106,-109.562,686.985,-179.995,0.0,-98.428
-466.73,-114.659,687.063,-179.995,-0.0,-96.357
-466.73,-114.659,687.063,-179.995,-0.0,-96.357
-466.73,-114.659,687.063,-179.995,-0.0,-96.357
-464.526,-122.413,687.181,-179.996,-0.001,-93.218
-464.526,-122.413,687.181,-179.996,-0.001,-93.218
-462.987,-127.543,687.258,-179.997,-0.001,-91.152
-462.987,-127.543,687.258,-179.997,-0.001,-91.152
-460.56,-135.226,687.374,-179.997,-0.001,-88.016
-460.56,-135.226,687.374,-179.997,-0.001,-88.016
-460.56,-135.226,687.374,-179.997,-0.001,-88.016
-458.906,-140.228,687.452,-179.997,-0.001,-85.96
-458.906,-140.228,687.452,-179.997,-0.001,-85.96
-456.271,-147.846,687.574,-179.999,-0.002,-82.865
-456.271,-147.846,687.574,-179.999,-0.002,-82.865
-456.271,-147.846,687.574,-179.999,-0.002,-82.865
-454.452,-152.875,687.649,-179.998,-0.002,-80.74
-454.452,-152.875,687.649,-179.998,-0.002,-80.74
-451.685,-160.195,687.761,-179.997,-0.002,-77.687
-451.685,-160.195,687.761,-179.997,-0.002,-77.687
