X,Y,Z,RX,RY,RZ
-217.109,-427.018,660.313,179.908,0.284,29.154
-214.245,-429.037,658.018,179.909,0.295,29.68
-211.367,-431.048,655.722,179.905,0.311,30.196
-208.472,-433.037,653.424,179.9,0.331,30.704
-205.554,-434.998,651.124,179.895,0.35,31.203
-202.614,-436.93,648.822,179.89,0.369,31.693
-199.653,-438.832,646.519,179.885,0.389,32.174
-196.67,-440.705,644.214,179.88,0.408,32.646
-193.667,-442.549,641.908,179.875,0.428,33.109
-190.643,-444.362,639.601,179.87,0.447,33.564
-187.599,-446.146,637.292,179.865,0.466,34.009
-184.535,-447.898,634.982,179.86,0.485,34.445
-181.452,-449.621,632.67,179.855,0.505,34.873
-178.35,-451.312,630.357,179.85,0.524,35.291
-175.229,-452.972,628.043,179.844,0.543,35.7
-172.089,-454.601,625.728,179.839,0.562,36.101
-168.932,-456.198,623.412,179.833,0.582,36.493
-165.757,-457.764,621.095,179.827,0.601,36.875
-162.564,-459.298,618.776,179.822,0.62,37.249
-159.355,-460.8,616.457,179.816,0.639,37.614
-156.129,-462.269,614.137,179.81,0.658,37.969
-152.887,-463.706,611.816,179.803,0.677,38.316
-149.628,-465.11,609.494,179.797,0.696,38.654
-146.355,-466.481,607.171,179.791,0.715,38.983
-143.066,-467.819,604.848,179.784,0.734,39.303
-139.763,-469.124,602.524,179.777,0.753,39.614
-136.445,-470.396,600.199,179.77,0.771,39.916
-133.114,-471.634,597.874,179.763,0.79,40.209
-129.769,-472.839,595.548,179.755,0.809,40.494
-126.41,-474.009,593.222,179.747,0.827,40.769
-123.039,-475.146,590.895,179.739,0.846,41.035
-119.656,-476.248,588.568,179.731,0.864,41.293
-116.26,-477.316,586.24,179.723,0.882,41.541
-112.853,-478.35,583.913,179.714,0.901,41.781
-109.435,-479.349,581.584,179.705,0.919,42.011
-106.005,-480.314,579.256,179.696,0.937,42.233
-102.566,-481.244,576.928,179.686,0.955,42.445
-99.116,-482.139,574.599,179.677,0.972,42.649
-95.657,-482.998,572.271,179.667,0.99,42.844
-92.188,-483.823,569.942,179.656,1.008,43.03
-88.711,-484.612,567.613,179.645,1.025,43.206
-85.225,-485.367,565.285,179.634,1.042,43.374
